z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,U_ver_abs_error,U_ver_rel_error,ja_abs_error,ja_rel_error,Na_abs_error,Na_rel_error,wb_abs_error,wb_rel_error,Nb_abs_error,Nb_rel_error,U_abs_error,U_rel_error,jb_abs_error,jb_rel_error,wa_abs_error,wa_rel_error
0.0000000000000000e+00,1.4961500000000001e+00,1.4213400000000000e+00,7.4807499999999999e-02,9.4999999999999996e-01,5.0000000000000003e-02,0,0,2.5477600000000002e-05,0,0,-1.6765100000000000e-05,0,0,5.8232999999999998e-06,0,0,5.8232999999999998e-06,0,0,1.7200699999999999e-05,0,0,-1.7200699999999999e-05,2.5477600000000002e-05,-1.6765100000000000e-05,5.8232999999999998e-06,5.8232999999999998e-06,1.7200699999999999e-05,-1.7200699999999999e-05,1.4213431382812498e+00,7.4807533593750142e-02,9.4999999999999996e-01,5.0000000000000100e-02,1.7196439713137327e-05,-1.7196439713137327e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,1.4566610335138368e-09,2.5020611144894133e-04,4.2602868626728200e-09,2.4774236330301464e-04,6.3232048742609755e-09,2.4824843594894178e-04,9.7144514654701197e-17,1.9428902930551623e-15,4.1780280199605647e-09,2.4927195399353339e-04,1.4566610335129898e-09,2.5020611144879583e-04,4.2602868626728200e-09,2.4774236330301464e-04,0.0000000000000000e+00,0.0000000000000000e+00
5.5000000000000000e-02,1.4961500000000001e+00,1.3597399999999999e+00,1.3641000000000000e-01,9.0882600000000002e-01,9.1173599999999994e-02,0,0,2.5440899999999999e-05,0,0,-1.6740900000000001e-05,0,0,5.8149000000000000e-06,0,0,5.8149000000000000e-06,0,0,1.7534099999999999e-05,0,0,-1.7534099999999999e-05,2.5440899999999999e-05,-1.6740900000000001e-05,5.8149000000000000e-06,5.8149000000000000e-06,1.7534099999999999e-05,-1.7534099999999999e-05,1.3596888744731568e+00,1.3646179740184317e-01,9.0879140719776097e-01,9.1208592802239002e-02,1.7555381178207353e-05,-1.7555381178207353e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,6.9433389664859472e-09,1.1926356257952703e-03,2.1281178207353905e-08,1.2122309837134522e-03,3.0376795125741570e-08,1.1925901546860976e-03,3.4992802239008913e-05,3.8365685911301821e-04,2.0021971980038289e-08,1.1945626152873494e-03,6.9433389664867943e-09,1.1926356257954158e-03,2.1281178207353905e-08,1.2122309837134522e-03,3.4592802239052922e-05,3.8064622932209525e-05
1.0500000000000000e-01,1.4961500000000001e+00,1.3026300000000000e+00,1.9352000000000000e-01,8.7065499999999996e-01,1.2934499999999999e-01,0,0,2.5454699999999999e-05,0,0,-1.6750100000000001e-05,0,0,5.8180699999999998e-06,0,0,5.8180699999999998e-06,0,0,1.7875899999999999e-05,0,0,-1.7875899999999999e-05,2.5454699999999999e-05,-1.6750100000000001e-05,5.8180699999999998e-06,5.8180699999999998e-06,1.7875899999999999e-05,-1.7875899999999999e-05,1.3025235059468971e+00,1.9362716592810281e-01,8.7058311066662419e-01,1.2941688933337586e-01,1.7888188998181521e-05,-1.7888188998181521e-05,5.8218433389664851e-06,2.5471276795125737e-05,-1.6760921971980036e-05,5.8218433389664860e-06,3.7733389664861114e-09,6.4813463685907608e-04,1.2288998181521680e-08,6.8698947086155476e-04,1.6576795125738416e-08,6.5080343668155521e-04,7.1889333375874109e-05,5.5548648824445810e-04,1.0821971980035056e-08,6.4566682861836536e-04,3.7733389664852644e-09,6.4813463685893069e-04,1.2288998181521680e-08,6.8698947086155476e-04,7.1889333375763087e-05,8.2576071709722582e-05
1.5500000000000000e-01,1.4961500000000001e+00,1.2444100000000000e+00,2.5174099999999999e-01,8.3174099999999995e-01,1.6825899999999999e-01,0,0,2.5464199999999999e-05,0,0,-1.6756200000000001e-05,0,0,5.8202099999999996e-06,0,0,5.8202099999999996e-06,0,0,1.8221400000000001e-05,0,0,-1.8221400000000001e-05,2.5464199999999999e-05,-1.6756200000000001e-05,5.8202099999999996e-06,5.8202099999999996e-06,1.8221400000000001e-05,-1.8221400000000001e-05,1.2442744194720428e+00,2.5187625240295719e-01,8.3165047669476910e-01,1.6834952330523092e-01,1.8227306054276039e-05,-1.8227306054276039e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,1.6333389664888729e-09,2.8055352760922981e-04,5.9060542760374073e-09,3.2402231763862648e-04,7.0767951257446899e-09,2.7783431921499149e-04,9.0523305230932882e-05,5.3771049334229058e-04,4.7219719800386216e-09,2.8172505702296624e-04,1.6333389664871788e-09,2.8055352760893886e-04,5.9060542760374073e-09,3.2402231763862648e-04,9.0523305230849616e-05,1.0884777652086223e-04
2.0499999999999999e-01,1.4961500000000001e+00,1.1850700000000001e+00,3.1108100000000000e-01,7.9207899999999998e-01,2.0792099999999999e-01,0,0,2.5468899999999999e-05,0,0,-1.6759300000000001e-05,0,0,5.8212899999999998e-06,0,0,5.8212899999999998e-06,0,0,1.8570200000000001e-05,0,0,-1.8570200000000001e-05,2.5468899999999999e-05,-1.6759300000000001e-05,5.8212899999999998e-06,5.8212899999999998e-06,1.8570200000000001e-05,-1.8570200000000001e-05,1.1849210703617952e+00,3.1122960151320478e-01,7.9197977358579341e-01,2.0802022641420659e-01,1.8572851954438886e-05,-1.8572851954438886e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,5.5333896648616595e-10,9.5045304248790098e-05,2.6519544388850210e-09,1.4278659532762885e-04,2.3767951257411604e-09,9.3312755836536443e-05,9.9226414206593505e-05,4.7700368332711276e-04,1.6219719800386004e-09,9.6771041949785306e-05,5.5333896648616595e-10,9.5045304248790098e-05,2.6519544388850210e-09,1.4278659532762885e-04,9.9226414206565750e-05,1.2528907620604972e-04
2.5500000000000000e-01,1.4961500000000001e+00,1.1246000000000000e+00,3.7155500000000002e-01,7.5165999999999999e-01,2.4834000000000001e-01,0,0,2.5471400000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218800000000004e-06,0,0,5.8218800000000004e-06,0,0,1.8924200000000001e-05,0,0,-1.8924200000000001e-05,2.5471400000000001e-05,-1.6761000000000001e-05,5.8218800000000004e-06,5.8218800000000004e-06,1.8924200000000001e-05,-1.8924200000000001e-05,1.1244425244514873e+00,3.7170814742351266e-01,7.5155700932334435e-01,2.4844299067665562e-01,1.8924948574097190e-05,-1.8924948574097190e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,3.6661033514450120e-11,6.2971511053760517e-06,7.4857409718947902e-10,3.9554879354292258e-05,1.2320487426093320e-10,4.8370119179694253e-06,1.0299067665561767e-04,4.1454450525933235e-04,7.8028019961739028e-11,4.6553534129464021e-06,3.6661033514450120e-11,6.2971511053760517e-06,7.4857409718947902e-10,3.9554879354292258e-05,1.0299067665564543e-04,1.3703641291062517e-04
3.0499999999999999e-01,1.4961500000000001e+00,1.0629700000000000e+00,4.3317899999999998e-01,7.1047099999999996e-01,2.8952899999999998e-01,0,0,2.5473000000000002e-05,0,0,-1.6762100000000000e-05,0,0,5.8222400000000002e-06,0,0,5.8222400000000002e-06,0,0,1.9284200000000001e-05,0,0,-1.9284200000000001e-05,2.5473000000000002e-05,-1.6762100000000000e-05,5.8222400000000002e-06,5.8222400000000002e-06,1.9284200000000001e-05,-1.9284200000000001e-05,1.0628174507150225e+00,4.3333322115997741e-01,7.1036792663608050e-01,2.8963207336391950e-01,1.9283720099143148e-05,-1.9283720099143148e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,3.9666103351422306e-10,6.8133225558661992e-05,4.7990085685320526e-10,2.4886320144638950e-05,1.7232048742576653e-09,6.7652863280672271e-05,1.0307336391951472e-04,3.5587689830762737e-04,1.1780280199573747e-09,7.0284197470911063e-05,3.9666103351337602e-10,6.8133225558516492e-05,4.7990085685320526e-10,2.4886320144638950e-05,1.0307336391945920e-04,1.4509856097728678e-04
3.5499999999999998e-01,1.4961500000000001e+00,1.0001800000000001e+00,4.9597500000000000e-01,6.6849899999999995e-01,3.3150099999999999e-01,0,0,2.5474100000000001e-05,0,0,-1.6762800000000002e-05,0,0,5.8224800000000000e-06,0,0,5.8224800000000000e-06,0,0,1.9650600000000001e-05,0,0,-1.9650600000000001e-05,2.5474100000000001e-05,-1.6762800000000002e-05,5.8224800000000000e-06,5.8224800000000000e-06,1.9650600000000001e-05,-1.9650600000000001e-05,1.0000241137413317e+00,4.9612655813366824e-01,6.6839799796907184e-01,3.3160200203092816e-01,1.9649293069734907e-05,-1.9649293069734907e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,6.3666103351153058e-10,1.0935727519374944e-04,1.3069302650940326e-09,6.6512835547972678e-05,2.8232048742566891e-09,1.1083876109258036e-04,1.0100203092816562e-04,3.0458812163154761e-04,1.8780280199622978e-09,1.1204800732643892e-04,6.3666103351237761e-10,1.0935727519389494e-04,1.3069302650940326e-09,6.6512835547972678e-05,1.0100203092811011e-04,1.5111061259138090e-04
4.0500000000000003e-01,1.4961500000000001e+00,9.3618699999999999e-01,5.5996400000000002e-01,6.2573100000000004e-01,3.7426900000000002e-01,0,0,2.5474799999999999e-05,0,0,-1.6763199999999999e-05,0,0,5.8226500000000001e-06,0,0,5.8226500000000001e-06,0,0,2.0023699999999999e-05,0,0,-2.0023699999999999e-05,2.5474799999999999e-05,-1.6763199999999999e-05,5.8226500000000001e-06,5.8226500000000001e-06,2.0023699999999999e-05,-2.0023699999999999e-05,9.3604036606821062e-01,5.6011030580678933e-01,6.2563242035987587e-01,3.7436757964012418e-01,2.0021796424927781e-05,-2.0021796424927781e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,8.0666103351410563e-10,1.3855764368603967e-04,1.9035750722187523e-09,9.5075133956192174e-05,3.5232048742548359e-09,1.3832069606374621e-04,9.8579640124163426e-05,2.6332312274119393e-04,2.2780280199563986e-09,1.3591304152907785e-04,8.0666103351325860e-10,1.3855764368589417e-04,1.9035750722187523e-09,9.5075133956192174e-05,9.8579640124163426e-05,1.5756798547508286e-04
4.5500000000000002e-01,1.4961500000000001e+00,8.7098399999999998e-01,6.2516700000000003e-01,5.8214999999999995e-01,4.1785000000000000e-01,0,0,2.5475300000000000e-05,0,0,-1.6763600000000000e-05,0,0,5.8227700000000000e-06,0,0,5.8227700000000000e-06,0,0,2.0403799999999999e-05,0,0,-2.0403799999999999e-05,2.5475300000000000e-05,-1.6763600000000000e-05,5.8227700000000000e-06,5.8227700000000000e-06,2.0403799999999999e-05,-2.0403799999999999e-05,8.7084364037081796e-01,6.2530703150418199e-01,5.8205611021747083e-01,4.1794388978252922e-01,2.0401361548151569e-05,-2.0401361548151569e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,9.2666103351402994e-10,1.5916966850380165e-04,2.4384518484305581e-09,1.1952397016009552e-04,4.0232048742593204e-09,1.5795064961480703e-04,9.3889782529221755e-05,2.2464686007935477e-04,2.6780280199606638e-09,1.5977807573232329e-04,9.2666103351318291e-10,1.5916966850365615e-04,2.4384518484305581e-09,1.1952397016009552e-04,9.3889782529110732e-05,1.6130709888754512e-04
5.0500000000000000e-01,1.4961500000000001e+00,8.0454199999999998e-01,6.9160800000000000e-01,5.3774200000000005e-01,4.6225899999999998e-01,0,0,2.5475700000000001e-05,0,0,-1.6763800000000000e-05,0,0,5.8228600000000004e-06,0,0,5.8228600000000004e-06,0,0,2.0791000000000001e-05,0,0,-2.0791000000000001e-05,2.5475700000000001e-05,-1.6763800000000000e-05,5.8228600000000004e-06,5.8228600000000004e-06,2.0791000000000001e-05,-2.0791000000000001e-05,8.0441094150209258e-01,6.9173973037290737e-01,5.3765369800221519e-01,4.6234630199778481e-01,2.0788122313550023e-05,-2.0788122313550023e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,1.0166610335143967e-09,1.7462868711719590e-04,2.8776864499779485e-09,1.3842935249966636e-04,4.4232048742601975e-09,1.7365461245554925e-04,8.7301997784838825e-05,1.8882382622597096e-04,2.8780280199611024e-09,1.7171059283384492e-04,1.0166610335135497e-09,1.7462868711705037e-04,2.8776864499779485e-09,1.3842935249966636e-04,8.8301997784867581e-05,1.6423582338001428e-04
5.5500000000000005e-01,1.4961500000000001e+00,7.3684099999999997e-01,7.5931000000000004e-01,4.9249100000000001e-01,5.0750899999999999e-01,0,0,2.5476000000000001e-05,0,0,-1.6764000000000001e-05,0,0,5.8229200000000003e-06,0,0,5.8229200000000003e-06,0,0,2.1185399999999999e-05,0,0,-2.1185399999999999e-05,2.5476000000000001e-05,-1.6764000000000001e-05,5.8229200000000003e-06,5.8229200000000003e-06,2.1185399999999999e-05,-2.1185399999999999e-05,7.3671883838226693e-01,7.5943183349273302e-01,4.9240952280494527e-01,5.0759047719505479e-01,2.1182215133198814e-05,-2.1182215133198814e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,1.0766610335143588e-09,1.8493469952607689e-04,3.1848668011849352e-09,1.5035569371767973e-04,4.7232048742608553e-09,1.8543258458610592e-04,8.1477195054802110e-05,1.6051758004776727e-04,3.0780280199615409e-09,1.8364310993536655e-04,1.0766610335135118e-09,1.8493469952593136e-04,3.1848668011849352e-09,1.5035569371767973e-04,8.1477195054746598e-05,1.6546632687048201e-04
6.0499999999999998e-01,1.4961500000000001e+00,6.6785499999999998e-01,8.2829600000000003e-01,4.4638200000000000e-01,5.5361800000000005e-01,0,0,2.5476199999999998e-05,0,0,-1.6764200000000001e-05,0,0,5.8229800000000003e-06,0,0,5.8229800000000003e-06,0,0,2.1587399999999999e-05,0,0,-2.1587399999999999e-05,2.5476199999999998e-05,-1.6764200000000001e-05,5.8229800000000003e-06,5.8229800000000003e-06,2.1587399999999999e-05,-2.1587399999999999e-05,6.6774345573463867e-01,8.2840721614036128e-01,4.4630762682331443e-01,5.5369237317668552e-01,2.1583779005218571e-05,-2.1583779005218571e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,1.1366610335143210e-09,1.9524071193495788e-04,3.6209947814285328e-09,1.6776462605498394e-04,4.9232048742579057e-09,1.9328456600634401e-04,7.4373176685460507e-05,1.3432219818854794e-04,3.2780280199619794e-09,1.9557562703688818e-04,1.1366610335143210e-09,1.9524071193495788e-04,3.6209947814285328e-09,1.6776462605498394e-04,7.4373176685571529e-05,1.6664106149108664e-04
6.5500000000000003e-01,1.4961500000000001e+00,5.9755999999999998e-01,8.9859100000000003e-01,3.9939799999999998e-01,6.0060199999999997e-01,0,0,2.5476399999999999e-05,0,0,-1.6764300000000001e-05,0,0,5.8230199999999997e-06,0,0,5.8230199999999997e-06,0,0,2.1996899999999999e-05,0,0,-2.1996899999999999e-05,2.5476399999999999e-05,-1.6764300000000001e-05,5.8230199999999997e-06,5.8230199999999997e-06,2.1996899999999999e-05,-2.1996899999999999e-05,5.9746046566465827e-01,8.9869020621034168e-01,3.9933174973340835e-01,6.0066825026659165e-01,2.1992955562800137e-05,-2.1992955562800137e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,1.1766610335111900e-09,2.0211138687367832e-04,3.9444371998627401e-09,1.7935002002116154e-04,5.1232048742549561e-09,2.0113654742658207e-04,6.6250266591683094e-05,1.1029427069296449e-04,3.3780280199621987e-09,2.0154188558764899e-04,1.1766610335128841e-09,2.0211138687396935e-04,3.9444371998627401e-09,1.7935002002116154e-04,6.6250266591627582e-05,1.6590282800125458e-04
7.0499999999999996e-01,1.4961500000000001e+00,5.2593100000000004e-01,9.7021900000000005e-01,3.5152299999999997e-01,6.4847699999999997e-01,0,0,2.5476599999999999e-05,0,0,-1.6764400000000002e-05,0,0,5.8230599999999999e-06,0,0,5.8230599999999999e-06,0,0,2.2414099999999999e-05,0,0,-2.2414099999999999e-05,2.5476599999999999e-05,-1.6764400000000002e-05,5.8230599999999999e-06,5.8230599999999999e-06,2.2414099999999999e-05,-2.2414099999999999e-05,5.2584507907938649e-01,9.7030559279561346e-01,3.5146532295466543e-01,6.4853467704533463e-01,2.2409889124159106e-05,-2.2409889124159106e-05,5.8218433389664851e-06,2.5471276795125737e-05,-1.6760921971980039e-05,5.8218433389664843e-06,1.2166610335156823e-09,2.0898206181370842e-04,4.2108758408932888e-09,1.8790256523184515e-04,5.3232048742621709e-09,2.0898852884721928e-04,5.7677045334658672e-05,8.8934404552338121e-05,3.4780280199624180e-09,2.0750814413840980e-04,1.2166610335148352e-09,2.0898206181356289e-04,4.2108758408932888e-09,1.8790256523184515e-04,5.7677045334547650e-05,1.6410451207393554e-04
7.5500000000000000e-01,1.4961500000000001e+00,4.5294499999999999e-01,1.0431999999999999e+00,3.0274000000000001e-01,6.9725999999999999e-01,0,0,2.5476700000000000e-05,0,0,-1.6764499999999998e-05,0,0,5.8230900000000003e-06,0,0,5.8230900000000003e-06,0,0,2.2839200000000000e-05,0,0,-2.2839200000000000e-05,2.5476700000000000e-05,-1.6764499999999998e-05,5.8230900000000003e-06,5.8230900000000003e-06,2.2839200000000000e-05,-2.2839200000000000e-05,4.5287203694428024e-01,1.0432786349307197e+00,3.0269146380607093e-01,6.9730853619392907e-01,2.2834726743437502e-05,-2.2834726743437502e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,1.2466610335143928e-09,2.1413506801793060e-04,4.4732565624977375e-09,1.9589708328286557e-04,5.4232048742556139e-09,2.1291451955713874e-04,4.8536193929082927e-05,6.9605047708056278e-05,3.5780280199558610e-09,2.1347440268876629e-04,1.2466610335126987e-09,2.1413506801763957e-04,4.4732565624977375e-09,1.9589708328286557e-04,4.8536193929082927e-05,1.6034873702292068e-04
8.0500000000000005e-01,1.4961500000000001e+00,3.7857400000000002e-01,1.1175800000000000e+00,2.5303199999999998e-01,7.4696799999999997e-01,0,0,2.5476800000000000e-05,0,0,-1.6764599999999999e-05,0,0,5.8231100000000001e-06,0,0,5.8231100000000001e-06,0,0,2.3272400000000001e-05,0,0,-2.3272400000000001e-05,2.5476800000000000e-05,-1.6764599999999999e-05,5.8231100000000001e-06,5.8231100000000001e-06,2.3272400000000001e-05,-2.3272400000000001e-05,3.7851560137423057e-01,1.1176350705007694e+00,2.5299296955156847e-01,7.4700703044843153e-01,2.3267618262570286e-05,-2.3267618262570286e-05,5.8218433389664860e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,1.2666610335140978e-09,2.1757040548750912e-04,4.7817374297147116e-09,2.0551038659150257e-04,5.5232048742558332e-09,2.1684051026732429e-04,3.9030448431565112e-05,5.2249104547359770e-05,3.6780280199560803e-09,2.1944066123952711e-04,1.2666610335140978e-09,2.1757040548750912e-04,4.7817374297147116e-09,2.0551038659150257e-04,3.9030448431509601e-05,1.5427483420008480e-04
8.5499999999999998e-01,1.4961500000000001e+00,3.0279200000000001e-01,1.1933499999999999e+00,2.0238000000000000e-01,7.9762000000000000e-01,0,0,2.5476900000000000e-05,0,0,-1.6764599999999999e-05,0,0,5.8231299999999998e-06,0,0,5.8231299999999998e-06,0,0,2.3713700000000000e-05,0,0,-2.3713700000000000e-05,2.5476900000000000e-05,-1.6764599999999999e-05,5.8231299999999998e-06,5.8231299999999998e-06,2.3713700000000000e-05,-2.3713700000000000e-05,3.0274954655570507e-01,1.1934011253192949e+00,2.0235231133258424e-01,7.9764768866741576e-01,2.3708716364135286e-05,-2.3708716364135286e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,1.2866610335138029e-09,2.2100574295708762e-04,4.9836358647138994e-09,2.1020267727569095e-04,5.6232048742594406e-09,2.2076650097764289e-04,2.7688667415759483e-05,3.4712903715652505e-05,3.6780280199594684e-09,2.1944066123972929e-04,1.2866610335138029e-09,2.2100574295708762e-04,4.9836358647138994e-09,2.1020267727569095e-04,2.7688667415759483e-05,1.3683395674247490e-04
9.0500000000000003e-01,1.4961500000000001e+00,2.2557300000000000e-01,1.2705800000000000e+00,1.5076899999999999e-01,8.4923099999999996e-01,0,0,2.5477000000000000e-05,0,0,-1.6764699999999999e-05,0,0,5.8231500000000003e-06,0,0,5.8231500000000003e-06,0,0,2.4163400000000000e-05,0,0,-2.4163400000000000e-05,2.5477000000000000e-05,-1.6764699999999999e-05,5.8231500000000003e-06,5.8231500000000003e-06,2.4163400000000000e-05,-2.4163400000000000e-05,2.2554714949680221e-01,1.2706035223781977e+00,1.5075162798553096e-01,8.4924837201446901e-01,2.4158176625204908e-05,-2.4158176625204908e-05,5.8218433389664885e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,1.3066610335118139e-09,2.2444108042637503e-04,5.2233747950918810e-09,2.1621559689345883e-04,5.7232048742562717e-09,2.2469249168769541e-04,1.7372014469052566e-05,2.0455752452989260e-05,3.7780280199596877e-09,2.2540691979049010e-04,1.3066610335118139e-09,2.2444108042637503e-04,5.2233747950918810e-09,2.1621559689345883e-04,1.7372014469024810e-05,1.1523599911356796e-04
9.5499999999999996e-01,1.4961500000000001e+00,1.4688999999999999e-01,1.3492599999999999e+00,9.8178799999999997e-02,9.0182099999999998e-01,0,0,2.5477000000000000e-05,0,0,-1.6764699999999999e-05,0,0,5.8231600000000002e-06,0,0,5.8231600000000002e-06,0,0,2.4621699999999998e-05,0,0,-2.4621699999999998e-05,2.5477000000000000e-05,-1.6764699999999999e-05,5.8231600000000002e-06,5.8231600000000002e-06,2.4621699999999998e-05,-2.4621699999999998e-05,1.4688118060194011e-01,1.3492694912730598e+00,9.8172719742100747e-02,9.0182728025789927e-01,2.4616157572218805e-05,-2.4616157572218805e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,1.3166610335116664e-09,2.2615874916116427e-04,5.5424277811931273e-09,2.2515404931816517e-04,5.7232048742562717e-09,2.2469249168769541e-04,6.2802578992826597e-06,6.9639253954257233e-06,3.7780280199596877e-09,2.2540691979049010e-04,1.3166610335125134e-09,2.2615874916130980e-04,5.5424277811931273e-09,2.2515404931816517e-04,6.0802578992491529e-06,6.1934292083992647e-05
9.8499999999999999e-01,1.4961500000000001e+00,9.8965800000000007e-02,1.3971800000000001e+00,6.6146899999999995e-02,9.3385300000000004e-01,0,0,2.5477300000000001e-05,0,0,-1.6764799999999999e-05,0,0,5.8232000000000004e-06,0,0,5.8232000000000004e-06,0,0,2.4900900000000001e-05,0,0,-2.4900900000000001e-05,2.5477300000000001e-05,-1.6764799999999999e-05,5.8232000000000004e-06,5.8232000000000004e-06,2.4900900000000001e-05,-2.4900900000000001e-05,9.8967564295674215e-02,1.3971831075793257e+00,6.6148126760285766e-02,9.3385187323971419e-01,2.4895103140157237e-05,-2.4895103140157237e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,1.3566610335144646e-09,2.3302942410090334e-04,5.7968598427636368e-09,2.3285139962170184e-04,6.0232048742569295e-09,2.3647046381825208e-04,1.1267602858522352e-06,1.2065728175305550e-06,3.8780280199565188e-09,2.3137317834104874e-04,1.3566610335136176e-09,2.3302942410075782e-04,5.7968598427636368e-09,2.3285139962170184e-04,1.2267602857718440e-06,1.8545654213292473e-05
1.0000000000000000e+00,1.4961500000000001e+00,7.4807499999999999e-02,1.4213400000000000e+00,5.0000000000000003e-02,9.4999999999999996e-01,0,0,2.5477600000000002e-05,0,0,-1.6765100000000000e-05,0,0,5.8232999999999998e-06,0,0,5.8232999999999998e-06,0,0,2.5041999999999998e-05,0,0,-2.5041999999999998e-05,2.5477600000000002e-05,-1.6765100000000000e-05,5.8232999999999998e-06,5.8232999999999998e-06,2.5041999999999998e-05,-2.5041999999999998e-05,7.4807533593750003e-02,1.4213431382812500e+00,5.0000000000000003e-02,9.5000000000000007e-01,2.5035759053968460e-05,-2.5035759053968460e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,1.4566610335138368e-09,2.5020611144894133e-04,6.2409460315385559e-09,2.4928126879652265e-04,6.3232048742575874e-09,2.4824843594880875e-04,1.1102230246251565e-16,1.1686558153936714e-16,4.1780280199571766e-09,2.4927195399333118e-04,1.4566610335129898e-09,2.5020611144879583e-04,6.2409460315385559e-09,2.4928126879652265e-04,0.0000000000000000e+00,0.0000000000000000e+00
